month,country,num_orders,num_customers,total_revenue,total_units
2009-12-01,Australia,2,2,271.1,160
2009-12-01,Austria,2,2,1998.34,564
2009-12-01,Belgium,3,2,447.6,153
2009-12-01,Channel Islands,1,1,989.18,439
2009-12-01,Cyprus,4,3,3556.98,1578
2009-12-01,Denmark,2,2,1437.66,574
2009-12-01,EIRE,16,2,18170.46,8615
2009-12-01,Finland,1,1,549.08,134
2009-12-01,France,13,10,6521.69,3688
2009-12-01,Germany,18,10,10096.85,4828
2009-12-01,Greece,1,1,610.95,441
2009-12-01,Italy,1,1,422.35,157
2009-12-01,Netherlands,6,2,15204.73,10822
2009-12-01,Norway,1,1,485.31,182
2009-12-01,Poland,1,1,371.82,266
2009-12-01,Portugal,2,2,2821.58,1575
2009-12-01,Spain,5,4,7950.18,3279
2009-12-01,Sweden,1,1,285.3,174
2009-12-01,Switzerland,1,1,589.4,220
2009-12-01,USA,1,1,141.0,1
2009-12-01,United Arab Emirates,1,1,517.7,520
2009-12-01,United Kingdom,1429,904,613214.9,361783
2010-01-01,Belgium,4,3,1634.02,717
2010-01-01,Channel Islands,1,1,838.75,193
2010-01-01,Cyprus,1,1,76.52,32
2010-01-01,Denmark,2,2,7870.6,63754
2010-01-01,EIRE,30,5,65031.41,30807
2010-01-01,Finland,2,2,801.42,263
2010-01-01,France,12,9,8465.63,5313
2010-01-01,Germany,21,13,12562.11,6321
2010-01-01,Greece,3,2,4798.35,1573
2010-01-01,Italy,1,1,39.67,1
2010-01-01,Japan,1,1,2.95,1
2010-01-01,Netherlands,6,3,29230.77,20531
2010-01-01,Nigeria,1,1,27.82,1
2010-01-01,Portugal,1,1,117.72,1
2010-01-01,Spain,9,6,4181.24,1194
2010-01-01,Sweden,3,2,1680.15,1537
2010-01-01,USA,5,2,2289.59,1344
2010-01-01,United Kingdom,906,663,416635.242,236956
2010-01-01,Unspecified,2,2,1035.1,382
2010-02-01,Australia,3,3,1029.66,624
2010-02-01,Austria,3,3,1118.86,480
2010-02-01,Belgium,3,2,3209.0,704
2010-02-01,Cyprus,2,1,750.49,294
2010-02-01,Denmark,2,1,19809.9,93230
2010-02-01,EIRE,17,3,20206.46,11249
2010-02-01,France,17,12,9024.16,4996
2010-02-01,Germany,27,18,9124.25,4789
2010-02-01,Japan,2,2,193.72,117
2010-02-01,Malta,2,1,1636.38,606
2010-02-01,Netherlands,8,2,17255.39,9883
2010-02-01,Portugal,3,2,458.83,245
2010-02-01,RSA,1,1,931.43,591
2010-02-01,Spain,4,3,554.04,279
2010-02-01,Sweden,7,3,8202.58,8497
2010-02-01,Switzerland,1,1,477.68,306
2010-02-01,United Arab Emirates,1,1,1310.3,798
2010-02-01,United Kingdom,1001,713,411077.936,235073
2010-03-01,Australia,2,2,429.39,191
2010-03-01,Austria,5,4,925.13,401
2010-03-01,Belgium,3,3,904.02,487
2010-03-01,Channel Islands,1,1,1065.12,996
2010-03-01,Cyprus,5,4,2879.19,1055
2010-03-01,Denmark,2,2,7595.18,64302
2010-03-01,EIRE,27,3,22989.46,14797
2010-03-01,France,16,12,8657.59,4553
2010-03-01,Germany,28,19,16698.08,8883
2010-03-01,Greece,1,1,522.73,259
2010-03-01,Italy,2,2,734.22,499
2010-03-01,Japan,1,1,110.4,48
2010-03-01,Netherlands,15,4,24447.98,16662
2010-03-01,Norway,2,1,13916.34,2
2010-03-01,Poland,1,1,318.86,194
2010-03-01,Portugal,2,2,2519.05,1349
2010-03-01,Spain,6,4,1680.52,1043
2010-03-01,Sweden,5,4,1337.58,560
2010-03-01,Switzerland,3,2,951.62,454
2010-03-01,United Arab Emirates,1,1,1201.52,1359
2010-03-01,United Kingdom,1396,984,589725.011,385372
2010-04-01,Australia,2,2,630.95,560
2010-04-01,Austria,1,1,1388.54,798
2010-04-01,Belgium,4,4,2570.39,1445
